,Average Mean,Average Median,Average Minimum,Average Maximum,Average Standard Deviation,Average Mean Deviation,Average Median Deviation,Average Minimum Deviation,Average Maximum Deviation,Average Standard Deviation Deviation,Highest Mean,Highest Median,Highest Minimum,Highest Maximum,Highest Standard Deviation,Lowest Mean,Lowest Median,Lowest Minimum,Lowest Maximum,Lowest Standard Deviation,Glucose
0,73.27701388888887,29.933333333333334,2.0,216.53333333333333,75.61675895347135,2.635828146858662,1.806162291219209,1.7126976771553504,6.162971866090436,2.861656434146264,78.8078125,34.0,5,229,80.73257406115533,69.6796875,27.0,0,208,72.23338999338925,123
1,69.75402777777778,27.666666666666668,1.5333333333333334,210.06666666666666,71.92827682422907,2.0134780992677106,1.988857852023506,1.3097921802925667,4.05736641458745,1.9370100200679292,74.63697916666666,34.0,4,217,75.00898425463953,67.33645833333334,25.0,0,202,68.56298293629926,127
2,70.59295138888889,27.666666666666668,2.2,213.13333333333333,73.42094448317707,1.6749726502684672,1.6996731711975945,1.514375558880073,4.645667037382492,1.7522728328115704,74.41927083333333,32.0,5,223,77.70598126571929,68.92239583333334,24.0,0,207,71.33754474697979,85
3,77.22109375,43.5,0.0,234.625,72.37851882331547,2.1763678642685056,2.7386127875258306,0.0,2.54644359843292,1.159582485663765,81.1953125,49.0,0,238,74.11483122286666,74.0078125,41.0,0,231,70.91789410292056,110
4,70.93586309523809,28.428571428571427,1.3571428571428572,211.5,73.17974871232299,1.0271626561816343,1.049781318335648,1.2309777099724346,2.611786471254603,1.2515261914490399,72.4703125,30.0,4,216,75.1775449445437,69.22447916666667,26.0,0,208,71.6004238956721,86
5,75.4625744047619,33.142857142857146,0.42857142857142855,224.57142857142858,76.95078130369606,1.4941095908521336,2.9180997451164994,0.8206518066482901,4.304719763805532,1.077037818847538,77.42604166666666,38.0,3,229,78.96209752014454,72.446875,28.0,0,215,74.84690702972456,142
6,69.47156249999999,27.733333333333334,0.8666666666666667,208.46666666666667,71.74081299919675,1.6533475923094239,1.7211107524567446,1.2036980056845192,4.129030017920538,2.052842185765528,72.82395833333334,32.0,4,215,75.39379429147289,67.67239583333334,25.0,0,203,69.55096825392579,100
7,70.02213541666666,28.642857142857142,1.0,209.57142857142858,72.13405808740052,1.6048288742910573,1.9496205805651687,0.9258200997725514,5.246962192059131,1.5011236652059237,72.85052083333333,32.0,3,220,74.30964343635951,67.23697916666667,25.0,0,203,69.51524113263747,124
8,70.36545138888889,26.733333333333334,2.4,211.33333333333334,73.38459683989316,1.41240798908911,0.6798692684790381,1.3063945294843617,4.422166387140534,1.608644975317827,75.41822916666666,28.0,4,227,79.0633816221569,69.09375,26.0,0,208,71.82090491313258,83
9,69.39711805555554,27.933333333333334,0.26666666666666666,209.06666666666666,71.49360672810323,1.4396929838781378,0.9977753031397179,0.5734883511361751,3.6233808644536505,1.579444973714491,73.14427083333334,29.0,2,218,75.75025796497317,67.66614583333333,26.0,0,203,69.89607985356118,84
10,69.8615625,27.6,1.2,209.4,72.27230996291684,1.3250110990537936,1.0832051206181281,1.2220201853215573,5.523284047255462,1.5891420442219104,72.25833333333334,30.0,4,221,74.30957860344938,67.81302083333334,26.0,0,203,69.43988660194681,98
11,67.98072916666666,27.4,1.5333333333333334,204.93333333333334,70.0281829344643,1.6448328754249482,0.8981462390204985,1.4544949486180956,5.039400317057136,2.2205491712373537,73.5265625,29.0,4,221,77.48650637003577,66.53177083333334,26.0,0,199,68.45297196367534,99
12,70.88909722222223,26.966666666666665,1.7333333333333334,212.6,74.29987832214917,1.8966447769964796,1.7172329163188342,1.339983416149452,5.678027826631356,2.6653993717519704,75.17395833333333,30.0,4,225,80.34147142145787,68.00625,24.0,0,202,69.46339685477645,112
13,69.92809027777777,27.2,3.6,209.8,72.6766661242063,1.7000685331649337,1.8330302779823358,1.8184242262647807,5.393823628311677,2.143649818658591,75.02604166666667,30.0,6,225,78.99830792596086,68.60260416666667,24.0,0,204,70.16278134037067,122
14,71.53277777777777,29.066666666666666,0.8,212.86666666666667,73.6031383585043,1.6477196300533394,1.7688665548562132,1.1075498483890767,3.4807406619217636,1.510503953875415,74.99947916666666,33.0,4,219,76.8189959716335,69.50833333333334,26.0,0,207,71.28426394809091,87
15,71.78003472222221,27.2,2.066666666666667,214.73333333333332,75.1767687134728,1.835940525673894,2.039607805437114,1.7688665548562132,4.6542692468552165,1.9174386466785833,75.47239583333334,31.0,5,226,79.6134690008124,69.5625,25.0,0,209,72.64530421582234,113
16,70.23392361111111,27.5,1.6666666666666667,211.8,72.93061241074815,1.4039395354272932,1.9578900207451218,1.247219128924647,4.182503237695499,1.6662416046065969,72.79895833333333,30.0,4,223,77.82353301271793,67.92135416666666,24.0,0,206,71.02256509260208,116
17,69.24690972222223,28.166666666666668,1.8,208.53333333333333,71.36345002773872,0.9221369383570746,1.4567848922274773,1.5577761927397233,2.6549743668986507,1.1848865510560194,71.56927083333333,31.0,4,216,75.4794218195815,67.90989583333334,25.0,0,204,70.10581218467183,75
